category,source,process,term_id,adjusted_p_value,logAdjustedPValue,term_size,query_size,intersection_size,effective_domain_size,intersections
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000126368
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000137857
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000172292
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000164258
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000164405
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000183648
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000197894
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000168291
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000148154
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000132824
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000178741
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000005249
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000101843
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000035687
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000165264
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000119421
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000164919
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000120992
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000131238
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000128609
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000138018
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000138669
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000170340
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000171314
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000118402
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000104763
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000143106
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000130540
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000173660
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000163682
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000117118
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000145494
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000150768
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000186298
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000144827
